subject	subject_label	predicate	object	object_label	property_values	predicate_label	negated	publications	primary_knowledge_source	aggregator_knowledge_source	subject_closure	subject_closure_label	object_closure	object_closure_label
NCBIGene:165	None	None	HP:0001765	None		None	None		None	None				
NCBIGene:165	None	None	HP:0001780	None		None	None		None	None				
NCBIGene:165	None	None	HP:0001760	None		None	None		None	None				
NCBIGene:165	None	None	HP:0001852	None		None	None		None	None				
NCBIGene:165	None	None	HP:0001822	None		None	None		None	None				
NCBIGene:165	None	None	HP:0001822	None		None	None		None	None				
NCBIGene:165	None	None	HP:0000508	None		None	None		None	None				
NCBIGene:165	None	None	HP:0000545	None		None	None		None	None				
NCBIGene:715	None	None	HP:0001166	None		None	None		None	None				
NCBIGene:715	None	None	HP:0000098	None		None	None		None	None				
NCBIGene:715	None	None	HP:0001373	None		None	None		None	None				
NCBIGene:715	None	None	HP:0001388	None		None	None		None	None				
NCBIGene:715	None	None	HP:0000023	None		None	None		None	None				
NCBIGene:715	None	None	HP:0007517	None		None	None		None	None				
NCBIGene:715	None	None	HP:0000006	None		None	None		None	None				
NCBIGene:715	None	None	HP:0002650	None		None	None		None	None				
NCBIGene:715	None	None	HP:0006349	None		None	None		None	None				
NCBIGene:715	None	None	HP:0006323	None		None	None		None	None				
NCBIGene:715	None	None	HP:0006308	None		None	None		None	None				
NCBIGene:715	None	None	HP:0410027	None		None	None		None	None				
NCBIGene:715	None	None	HP:0002761	None		None	None		None	None				
NCBIGene:715	None	None	HP:0002719	None		None	None		None	None				
NCBIGene:715	None	None	HP:0002036	None		None	None		None	None				
NCBIGene:715	None	None	HP:0034518	None		None	None		None	None				
NCBIGene:715	None	None	HP:0034517	None		None	None		None	None				
NCBIGene:715	None	None	HP:0001058	None		None	None		None	None				
NCBIGene:715	None	None	HP:0001034	None		None	None		None	None				
NCBIGene:715	None	None	HP:0001030	None		None	None		None	None				
NCBIGene:715	None	None	HP:0001015	None		None	None		None	None				
NCBIGene:715	None	None	HP:0001075	None		None	None		None	None				
NCBIGene:715	None	None	HP:0001075	None		None	None		None	None				
NCBIGene:715	None	None	HP:0000691	None		None	None		None	None				
NCBIGene:715	None	None	HP:0004322	None		None	None		None	None				
NCBIGene:715	None	None	HP:0005692	None		None	None		None	None				
NCBIGene:715	None	None	HP:0000704	None		None	None		None	None				
NCBIGene:715	None	None	HP:0000704	None		None	None		None	None				
NCBIGene:715	None	None	HP:0030816	None		None	None		None	None				
NCBIGene:715	None	None	HP:0000978	None		None	None		None	None				
NCBIGene:715	None	None	HP:0000977	None		None	None		None	None				
NCBIGene:715	None	None	HP:0000974	None		None	None		None	None				
NCBIGene:715	None	None	HP:0000974	None		None	None		None	None				
NCBIGene:715	None	None	HP:0000963	None		None	None		None	None				
NCBIGene:715	None	None	HP:0002829	None		None	None		None	None				
NCBIGene:715	None	None	HP:0000212	None		None	None		None	None				
NCBIGene:715	None	None	HP:0000225	None		None	None		None	None				
NCBIGene:715	None	None	HP:0001537	None		None	None		None	None				
NCBIGene:715	None	None	HP:0031368	None		None	None		None	None				
NCBIGene:715	None	None	HP:0001609	None		None	None		None	None				
NCBIGene:715	None	None	HP:0006480	None		None	None		None	None				
NCBIGene:715	None	None	HP:0000347	None		None	None		None	None				
NCBIGene:715	None	None	HP:0002960	None		None	None		None	None				
NCBIGene:715	None	None	HP:0000592	None		None	None		None	None				
NCBIGene:716	None	None	HP:0001373	None		None	None		None	None				
NCBIGene:716	None	None	HP:0001382	None		None	None		None	None				
NCBIGene:716	None	None	HP:0000023	None		None	None		None	None				
NCBIGene:716	None	None	HP:0002667	None		None	None		None	None				
